place_id,name,location_lat,location_lng,types,rating,total_reviews,address,is_amusement_park,is_aquarium,is_art_gallery,is_bowling_alley,is_library,is_movie_theater,is_mosque,is_cafe,is_church,is_night_club,is_park,is_point_of_interest,is_museum,is_restaurant,is_zoo,family,romantic,cheap,kids,expensive,friends
ChIJT_UEVd8-XUERmnnWypg6cdg,Авгуръ,54.35397680000001,48.619510600000005,"aquarium,home_goods_store,store,point_of_interest,establishment",4.4,8,"7-й Инженерный пр-д, 1, стр. 3, к.206, Ульяновск, Ульяновская обл., Россия, 432072",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJ6ZR0YDVGtUYRQb00WkeUAtc,Крокус Сити Океанариум,55.8191356,37.385697799999996,"aquarium,point_of_interest,establishment",4.7,1434,"Международная улица, 10, Красногорск, Московская обл., Россия, 143401",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
ChIJ8_EjcJIe4EMRxNQwb-n6Wmw,Набережночелнинский дельфинарий,55.6748176,52.2989898,"aquarium,point_of_interest,establishment",4.5,919,"набережная Габдуллы Тукая, 12А, Набережные Челны, Респ. Татарстан, Россия, 423800",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
ChIJhX-ofyE0XUERxEFfDLdp6Rc,АкваСпец Установка и чистка Аквариумов,54.308488,48.3957811,"aquarium,point_of_interest,establishment",4.3,4,"ул. Гончарова, 1, Ульяновск, Ульяновская обл., Россия, 432001",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJL3WkxDVVQEER5L9q2OSa6wk,Пензенский океанариум,53.12784789999999,45.0239361,"aquarium,point_of_interest,establishment",4.6,128,"Центральная ул., 1, Пенза, Пензенская обл., Россия, 440068",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
ChIJL3WkxDVVQEERQ670SnnLc34,Океанариум,53.128102,45.024440000000006,"shopping_mall,point_of_interest,establishment",4.6,130,"Центральная ул., 1, Пенза, Пензенская обл., Россия, 440068",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJ74yjK60xlkYRh-siJtC2v8M,Океанариум,59.9190096,30.3384072,"aquarium,museum,point_of_interest,establishment",4.6,6604,"ул. Марата, 86, Санкт-Петербург, Россия, 191119",0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ChIJwc5OfVpKtUYRTdgski_wKp0,Океанариум,55.9092123,37.539961600000005,"aquarium,point_of_interest,establishment",4.6,1514,"ТРЦ Рио, Дмитровское ш., 163, Москва, Россия, 127204",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1
ChIJ8aysvu0eZkERF84kYCEG_fs,Морские Аквариумы,53.219871999999995,50.15546399999999,"aquarium,point_of_interest,establishment",5.0,2,"ул. Ново-Садовая, 106Б, Самара, Самарская обл., Россия, 443100",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJX88sCg8cZkERK6sGB9_ppBM,Аквариум Сити Сервис,53.201240500000004,50.2218685,"aquarium,pet_store,store,point_of_interest,establishment",5.0,4,"ул. Гагарина, 155, Самара, Самарская обл., Россия, 443023",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJ13FbehetXkERMEr_47Z3gTU,Боулинг,55.7913809,49.1125806,"bowling_alley,point_of_interest,establishment",4.0,96,"ТРК ""Родина"", ул. Баумана, 44/8, Казань, Респ. Татарстан, Россия, 420111",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
ChIJudD8ZFCtXkERnA_YYVdQn0w,"Боулинг ""Ривьера""",55.8156281,49.127103600000005,"bowling_alley,point_of_interest,establishment",4.3,113,"РК ""Ривьера, пр. Фатыха Амирхана, 1Б, Казань, Респ. Татарстан, Россия, 420126",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
ChIJB1XNgF9NWUERXdFDdlVMKGc,Тимерхан,55.84189670000001,49.102497899999996,"bowling_alley,restaurant,point_of_interest,food,establishment",4.3,288,"ул. Короленко, 58а, Казань, Респ. Татарстан, Россия, 420094",0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
ChIJK1oSjPKtXkERw_GmbG8oOm8,Kingdom,55.774178500000005,49.2013606,"restaurant,bowling_alley,point_of_interest,food,establishment",4.6,25,"ул. Бухарская, 3А, Казань, Респ. Татарстан, Россия, 420087",0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
ChIJA8MR_K9SWUERQH31HkhU3Xo,Притяжение,55.8214954,49.0931261,"point_of_interest,establishment",4.1,68,"пр. Ибрагимова, 56, Казань, Респ. Татарстан, Россия, 420066",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
ChIJBXz6hHGtXkERKnWFSxLa00c,Корстон,55.79385660000001,49.14925059999999,"lodging,point_of_interest,establishment",4.5,5078,"ул. Николая Ершова, 1А, Казань, Респ. Татарстан, Россия, 420045",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
ChIJXTgAj6etXkERrJ5Q-4q27rU,Шароff Бильярдный Клуб,55.7863199,49.1247382,"point_of_interest,establishment",4.0,27,"ТЦ “Кольцо”, ул. Петербургская, 1, 4 этаж, Казань, Респ. Татарстан, Россия, 420107",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJt_SXhHGtXkERGwMm-9YE1aQ,Детский развлекательный парк,55.79389800000001,49.150377899999995,"point_of_interest,establishment",4.4,9,"ул. Николая Ершова, Казань, Респ. Татарстан, Россия, 420045",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJFwreiTatXkERau7im7VtGQU,Боулинг,55.8089507,49.099145,"point_of_interest,establishment",4.0,1,"Парк аттракционов “Кырлай”, Ст. метро ""Козья Слобода"", ул. Односторонка Гривки, Казань, Респ. Татарстан, Россия, 420079",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJcSYNEDWtXkERssEvdDzm_JQ,Сафар,55.812422,49.0942552,"restaurant,point_of_interest,food,establishment",4.1,58,"AMAKS Сафар-отель, ул. Односторонка Гривки, 1, Казань, Респ. Татарстан, Россия, 420066",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
ChIJOXVC0HOtXkERaPfBMfkj18Q,"Корстон, Бильярдный Зал",55.7937519,49.1500885,"point_of_interest,establishment",4.1,16,"ул. Николая Ершова, 1, лит. А, Казань, Респ. Татарстан, Россия, 420061",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
ChIJq3zx1yKtXkERkzX4iIBGah0,Пирамида Хеопса,55.7948,49.1031,"beauty_salon,cafe,night_club,restaurant,point_of_interest,food,establishment",4.4,1179,"Московская ул., 3, Казань, Респ. Татарстан, Россия, 420111",0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1
ChIJlw1kcBetXkERN4tftjf-Vrg,Родина,55.791331400000004,49.112302500000006,"movie_theater,point_of_interest,establishment",4.4,1506,"ул. Баумана, 44/8, Казань, Респ. Татарстан, Россия, 420111",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJ-aMlaVVNWUERy4ece0K_HOs,Парк Хаус,55.8294965,49.117864600000004,"shopping_mall,point_of_interest,establishment",4.6,11986,"пр. Хусаина Ямашева, 46, Казань, Респ. Татарстан, Россия, 420124",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJ6z6eMi7rWUERJ_MRgk0Bbvw,Стоун Боулинг,56.638924800000005,47.8893158,"bowling_alley,point_of_interest,establishment",4.5,130,"Первомайская ул., 109, Йошкар-Ола, Респ. Марий Эл, Россия, 424000",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
