,place_id,name,location_lat,location_lng,types,rating,total_reviews,address,is_amusement_park,is_aquarium,is_art_gallery,is_bowling_alley,is_library,is_movie_theater,is_mosque,is_cafe,is_church,is_night_club,is_park,is_point_of_interest,is_museum,is_restaurant,is_zoo,is_cheap,is_expensive,family,friends,kids,romantic
38,ChIJudD8ZFCtXkERnA_YYVdQn0w,"Боулинг ""Ривьера""",55.8156281,49.12710360000001,"bowling_alley,point_of_interest,establishment",4.3,113,"РК ""Ривьера, пр. Фатыха Амирхана, 1Б, Казань, Респ. Татарстан, Россия, 420126",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
39,ChIJB1XNgF9NWUERXdFDdlVMKGc,Тимерхан,55.84189670000001,49.1024979,"bowling_alley,restaurant,point_of_interest,food,establishment",4.3,288,"ул. Короленко, 58а, Казань, Респ. Татарстан, Россия, 420094",0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1
40,ChIJK1oSjPKtXkERw_GmbG8oOm8,Kingdom,55.77417850000001,49.2013606,"restaurant,bowling_alley,point_of_interest,food,establishment",4.6,25,"ул. Бухарская, 3А, Казань, Респ. Татарстан, Россия, 420087",0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1
41,ChIJA8MR_K9SWUERQH31HkhU3Xo,Притяжение,55.8214954,49.0931261,"point_of_interest,establishment",4.1,68,"пр. Ибрагимова, 56, Казань, Респ. Татарстан, Россия, 420066",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1
42,ChIJBXz6hHGtXkERKnWFSxLa00c,Корстон,55.79385660000001,49.14925059999999,"lodging,point_of_interest,establishment",4.5,5078,"ул. Николая Ершова, 1А, Казань, Респ. Татарстан, Россия, 420045",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0
43,ChIJXTgAj6etXkERrJ5Q-4q27rU,Шароff Бильярдный Клуб,55.7863199,49.1247382,"point_of_interest,establishment",4.0,27,"ТЦ “Кольцо”, ул. Петербургская, 1, 4 этаж, Казань, Респ. Татарстан, Россия, 420107",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0
44,ChIJt_SXhHGtXkERGwMm-9YE1aQ,Детский развлекательный парк,55.79389800000001,49.1503779,"point_of_interest,establishment",4.4,9,"ул. Николая Ершова, Казань, Респ. Татарстан, Россия, 420045",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
45,ChIJFwreiTatXkERau7im7VtGQU,Боулинг,55.8089507,49.099145,"point_of_interest,establishment",4.0,1,"Парк аттракционов “Кырлай”, Ст. метро ""Козья Слобода"", ул. Односторонка Гривки, Казань, Респ. Татарстан, Россия, 420079",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0
46,ChIJcSYNEDWtXkERssEvdDzm_JQ,Сафар,55.812422,49.0942552,"restaurant,point_of_interest,food,establishment",4.1,58,"AMAKS Сафар-отель, ул. Односторонка Гривки, 1, Казань, Респ. Татарстан, Россия, 420066",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
47,ChIJOXVC0HOtXkERaPfBMfkj18Q,"Корстон, Бильярдный Зал",55.7937519,49.1500885,"point_of_interest,establishment",4.1,16,"ул. Николая Ершова, 1, лит. А, Казань, Респ. Татарстан, Россия, 420061",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
48,ChIJq3zx1yKtXkERkzX4iIBGah0,Пирамида Хеопса,55.7948,49.1031,"beauty_salon,cafe,night_club,restaurant,point_of_interest,food,establishment",4.4,1179,"Московская ул., 3, Казань, Респ. Татарстан, Россия, 420111",0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0
49,ChIJlw1kcBetXkERN4tftjf-Vrg,Родина,55.7913314,49.11230250000001,"movie_theater,point_of_interest,establishment",4.4,1506,"ул. Баумана, 44/8, Казань, Респ. Татарстан, Россия, 420111",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1
50,ChIJ-aMlaVVNWUERy4ece0K_HOs,Парк Хаус,55.8294965,49.1178646,"shopping_mall,point_of_interest,establishment",4.6,11986,"пр. Хусаина Ямашева, 46, Казань, Респ. Татарстан, Россия, 420124",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
51,ChIJ6z6eMi7rWUERJ_MRgk0Bbvw,Стоун Боулинг,56.63892480000001,47.8893158,"bowling_alley,point_of_interest,establishment",4.5,130,"Первомайская ул., 109, Йошкар-Ола, Респ. Марий Эл, Россия, 424000",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1
52,ChIJZ_CaFLRSWUERvKjD55I5Y3o,ТРК Тандем,55.8213251,49.09352310000001,"shopping_mall,point_of_interest,establishment",4.6,11681,"пр. Ибрагимова, 56, Казань, Респ. Татарстан, Россия, 420066",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1
53,ChIJtUDYZwitXkERQzz8spxXe4k,Алан Аш,55.7800998,49.13527999999999,"restaurant,point_of_interest,food,establishment",4.6,8,"Туфана Миннуллина, 14/56, Казань, Респ. Татарстан, Россия, 420107",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1
54,ChIJw77_AIo3WkERjgk2WSHb604,VIP entrance,56.13476729999999,47.2409068,"bowling_alley,point_of_interest,establishment",5.0,2,"бул. Президентский, 20, Чебоксары, Чувашская Респ., Россия, 428006",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1
55,ChIJt5udShGtXkERLJwGRR_DmgQ,Национальная библиотека Республики Татарстан,55.79173539999999,49.12093400000001,"library,point_of_interest,establishment",4.7,26,"ул. Кремлевская, 33, Казань, Респ. Татарстан, Россия, 420111",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
56,ChIJydmCRKmyXkERkz_V6TyE90E,"ГБУК РТ ""Республиканская детская библиотека""",55.826372,49.1415089,"library,point_of_interest,establishment",5.0,8,"пр. Хусаина Ямашева, 81, Казань, Респ. Татарстан, Россия, 420126",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0
57,ChIJi5Z2q7RSWUERDRT1or60cFQ,Библиотека № 46,55.818197,49.1020656,"library,point_of_interest,establishment",5.0,3,"Чистопольская ул., 4, Казань, Респ. Татарстан, Россия, 420066",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0
58,ChIJW8y0X9-tXkERQKPnXWVBcAM,Центральная Детская Библиотека,55.75128520000001,49.20290429999999,"library,point_of_interest,establishment",4.8,10,"ул. Гарифьянова, 42, Казань, Респ. Татарстан, Россия, 420138",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
59,ChIJ66c56TutXkERm6i7TLsC1RI,"Централизованная библиотечная система города Казани, филиал № 20",55.80866629999999,49.186862,"library,point_of_interest,establishment",4.7,6,"ул. Академика Кирпичникова, 14, Казань, Респ. Татарстан, Россия, 420029",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0
